polygon_id,coordinates,color_r,color_g,color_b,color_a
0,"[[396.0, 221.0], [395.0, 262.0], [382.0, 262.0], [379.0, 221.0], [396.0, 221.0]]",0.9450980392156862,0.788235294117647,0.1411764705882353,1.0
1,"[[447.44077631008855, 234.2157206561182], [433.82002302442055, 272.90002082984455], [421.4562883125836, 268.88279990297025], [431.27281553307097, 228.9624317517441], [447.44077631008855, 234.2157206561182]]",0.9450980392156862,0.788235294117647,0.1411764705882353,1.0
2,"[[492.2799795474271, 262.6806919873135], [467.37176720906075, 295.26260350439384], [456.85454628218645, 287.62139522459165], [478.52669064305303, 252.68834269834142], [492.2799795474271, 262.6806919873135]]",0.08627450980392157,0.1411764705882353,0.6039215686274509,1.0
3,"[[526.1284360860457, 303.6085642725712], [492.3709540643804, 326.8987426221877], [484.7297457845782, 316.3815216953133], [516.1360867970736, 289.8552753681971], [526.1284360860457, 303.6085642725712]]",0.1843137254901961,0.33725490196078434,0.23529411764705882,1.0
4,"[[545.6728231638801, 352.9930322113563], [506.3704890014039, 364.71167246443406], [502.3532680745295, 352.34793775259703], [540.419534259506, 336.8250714343387], [545.6728231638801, 352.9930322113563]]",0.1843137254901961,0.33725490196078434,0.23529411764705882,1.0
5,"[[549.0, 406.0], [508.0, 405.0], [508.0, 392.0], [549.0, 389.0], [549.0, 406.0]]",0.8509803921568627,0.3137254901960784,0.3568627450980392,1.0
6,"[[535.7842793438818, 457.44077631008855], [497.09997917015545, 443.82002302442055], [501.11720009702975, 431.4562883125836], [541.0375682482559, 441.27281553307097], [535.7842793438818, 457.44077631008855]]",0.8509803921568627,0.3137254901960784,0.3568627450980392,1.0
7,"[[507.3193080126865, 502.2799795474271], [474.73739649560616, 477.37176720906075], [482.37860477540835, 466.85454628218645], [517.3116573016586, 488.52669064305303], [507.3193080126865, 502.2799795474271]]",0.8509803921568627,0.3137254901960784,0.3568627450980392,1.0
8,"[[466.3914357274288, 536.1284360860457], [443.1012573778124, 502.3709540643804], [453.6184783046867, 494.7297457845782], [480.1447246318029, 526.1360867970736], [466.3914357274288, 536.1284360860457]]",0.9254901960784314,0.25882352941176473,0.01568627450980392,1.0
9,"[[417.0069677886437, 555.6728231638801], [405.288327535566, 516.3704890014038], [417.65206224740297, 512.3532680745295], [433.1749285656613, 550.419534259506], [417.0069677886437, 555.6728231638801]]",0.9254901960784314,0.25882352941176473,0.01568627450980392,1.0
10,"[[364.0, 559.0], [365.0, 518.0], [378.0, 518.0], [381.0, 559.0], [364.0, 559.0]]",0.01568627450980392,0.47058823529411764,0.6431372549019608,1.0
11,"[[312.55922368991145, 545.7842793438818], [326.17997697557945, 507.09997917015545], [338.5437116874164, 511.11720009702975], [328.7271844669291, 551.0375682482559], [312.55922368991145, 545.7842793438818]]",0.01568627450980392,0.47058823529411764,0.6431372549019608,1.0
12,"[[267.7200204525729, 517.3193080126865], [292.62823279093925, 484.73739649560616], [303.14545371781355, 492.37860477540835], [281.47330935694697, 527.3116573016586], [267.7200204525729, 517.3193080126865]]",0.01568627450980392,0.47058823529411764,0.6431372549019608,1.0
13,"[[233.87156391395433, 476.3914357274288], [267.6290459356196, 453.1012573778124], [275.2702542154218, 463.6184783046867], [243.86391320292637, 490.1447246318029], [233.87156391395433, 476.3914357274288]]",0.396078431372549,0.2235294117647059,0.4745098039215686,1.0
14,"[[214.3271768361199, 427.0069677886437], [253.62951099859612, 415.288327535566], [257.6467319254705, 427.65206224740297], [219.58046574049402, 443.1749285656613], [214.3271768361199, 427.0069677886437]]",0.396078431372549,0.2235294117647059,0.4745098039215686,1.0
15,"[[211.0, 374.00000000000006], [252.0, 375.0], [252.0, 388.0], [211.0, 391.00000000000006], [211.0, 374.00000000000006]]",0.6352941176470588,0.09411764705882353,0.09411764705882353,1.0
16,"[[224.21572065611818, 322.55922368991145], [262.90002082984455, 336.17997697557945], [258.88279990297025, 348.5437116874165], [218.96243175174408, 338.7271844669291], [224.21572065611818, 322.55922368991145]]",0.6352941176470588,0.09411764705882353,0.09411764705882353,1.0
17,"[[252.68069198731342, 277.72002045257295], [285.26260350439384, 302.62823279093925], [277.62139522459165, 313.14545371781355], [242.6883426983414, 291.473309356947], [252.68069198731342, 277.72002045257295]]",0.5098039215686274,0.7647058823529411,0.5490196078431373,1.0
18,"[[293.60856427257113, 243.87156391395433], [316.8987426221876, 277.6290459356196], [306.3815216953133, 285.2702542154218], [279.85527536819706, 253.86391320292637], [293.60856427257113, 243.87156391395433]]",0.5098039215686274,0.7647058823529411,0.5490196078431373,1.0
19,"[[342.9930322113563, 224.3271768361199], [354.711672464434, 263.6295109985961], [342.347937752597, 267.6467319254705], [326.82507143433867, 229.58046574049402], [342.9930322113563, 224.3271768361199]]",0.5098039215686274,0.7647058823529411,0.5490196078431373,1.0
20,"[[399.808, 250.5056], [419.4688, 252.5536], [430.528, 205.8592], [400.6272, 204.2208], [399.808, 250.5056]]",0.9450980392156862,0.788235294117647,0.1411764705882353,1.0
21,"[[441.94466769491106, 263.45395051789626], [460.0103328460069, 271.4772355862757], [484.9576202131599, 230.48570293597473], [457.02656297430565, 219.68763659427032], [441.94466769491106, 263.45395051789626]]",0.08627450980392157,0.1411764705882353,0.6039215686274509,1.0
22,"[[478.0177597219661, 288.78951005727265], [492.7198968482781, 302.0027051500244], [529.1132572771153, 270.72657667003574], [505.88602928906477, 251.82583395470508], [478.0177597219661, 288.78951005727265]]",0.08627450980392157,0.1411764705882353,0.6039215686274509,1.0
23,"[[504.49619049754597, 324.03225752719175], [514.395651981338, 341.14196304689375], [558.6726497856324, 322.64276410643953], [542.4228939574696, 297.48948140367713], [504.49619049754597, 324.03225752719175]]",0.1843137254901961,0.33725490196078434,0.23529411764705882,1.0
24,"[[518.7880667312617, 365.73238725463773], [522.9158243088962, 385.06378601469333], [570.7423184475799, 381.1523470975632], [563.0606740984715, 352.2087029715412], [518.7880667312617, 365.73238725463773]]",0.1843137254901961,0.33725490196078434,0.23529411764705882,1.0
25,"[[519.4944, 409.808], [517.4464, 429.4688], [564.1408, 440.528], [565.7792, 410.6272], [519.4944, 409.808]]",0.8509803921568627,0.3137254901960784,0.3568627450980392,1.0
26,"[[506.54604948210374, 451.94466769491106], [498.5227644137243, 470.0103328460069], [539.5142970640253, 494.9576202131599], [550.3123634057297, 467.02656297430565], [506.54604948210374, 451.94466769491106]]",0.8509803921568627,0.3137254901960784,0.3568627450980392,1.0
27,"[[481.21048994272735, 488.0177597219661], [467.9972948499756, 502.7198968482781], [499.27342332996426, 539.1132572771152], [518.1741660452949, 515.8860292890647], [481.21048994272735, 488.0177597219661]]",0.9254901960784314,0.25882352941176473,0.01568627450980392,1.0
28,"[[445.96774247280825, 514.496190497546], [428.8580369531063, 524.3956519813379], [447.3572358935605, 568.6726497856324], [472.5105185963229, 552.4228939574696], [445.96774247280825, 514.496190497546]]",0.9254901960784314,0.25882352941176473,0.01568627450980392,1.0
29,"[[404.26761274536227, 528.7880667312617], [384.93621398530667, 532.9158243088962], [388.8476529024368, 580.7423184475799], [417.79129702845887, 573.0606740984715], [404.26761274536227, 528.7880667312617]]",0.9254901960784314,0.25882352941176473,0.01568627450980392,1.0
30,"[[360.192, 529.4944], [340.5312, 527.4464], [329.472, 574.1408], [359.3728, 575.7792], [360.192, 529.4944]]",0.01568627450980392,0.47058823529411764,0.6431372549019608,1.0
31,"[[318.05533230508894, 516.5460494821037], [299.9896671539931, 508.5227644137243], [275.0423797868402, 549.5142970640253], [302.97343702569435, 560.3123634057297], [318.05533230508894, 516.5460494821037]]",0.01568627450980392,0.47058823529411764,0.6431372549019608,1.0
32,"[[281.9822402780339, 491.21048994272735], [267.2801031517219, 477.9972948499756], [230.88674272288483, 509.27342332996426], [254.11397071093526, 528.1741660452949], [281.9822402780339, 491.21048994272735]]",0.396078431372549,0.2235294117647059,0.4745098039215686,1.0
33,"[[255.50380950245403, 455.96774247280825], [245.60434801866208, 438.8580369531063], [201.32735021436758, 457.3572358935605], [217.57710604253046, 482.5105185963229], [255.50380950245403, 455.96774247280825]]",0.396078431372549,0.2235294117647059,0.4745098039215686,1.0
34,"[[241.21193326873836, 414.26761274536227], [237.08417569110387, 394.93621398530667], [189.25768155242002, 398.84765290243683], [196.9393259015285, 427.79129702845887], [241.21193326873836, 414.26761274536227]]",0.6352941176470588,0.09411764705882353,0.09411764705882353,1.0
35,"[[240.5056, 370.192], [242.5536, 350.5312], [195.8592, 339.47200000000004], [194.2208, 369.37280000000004], [240.5056, 370.192]]",0.6352941176470588,0.09411764705882353,0.09411764705882353,1.0
36,"[[253.45395051789626, 328.05533230508894], [261.4772355862757, 309.9896671539931], [220.4857029359747, 285.0423797868402], [209.68763659427032, 312.9734370256944], [253.45395051789626, 328.05533230508894]]",0.6352941176470588,0.09411764705882353,0.09411764705882353,1.0
37,"[[278.7895100572726, 291.9822402780339], [292.0027051500243, 277.2801031517219], [260.7265766700357, 240.88674272288483], [241.82583395470505, 264.1139707109353], [278.7895100572726, 291.9822402780339]]",0.5098039215686274,0.7647058823529411,0.5490196078431373,1.0
38,"[[314.03225752719175, 265.50380950245403], [331.1419630468937, 255.60434801866205], [312.6427641064395, 211.32735021436758], [287.489481403677, 227.57710604253046], [314.03225752719175, 265.50380950245403]]",0.5098039215686274,0.7647058823529411,0.5490196078431373,1.0
39,"[[355.7323872546377, 251.21193326873836], [375.06378601469333, 247.08417569110387], [371.15234709756317, 199.25768155242002], [342.20870297154113, 206.9393259015285], [355.7323872546377, 251.21193326873836]]",0.5098039215686274,0.7647058823529411,0.5490196078431373,1.0
40,"[[431.7568, 223.0624], [446.912, 228.7968], [457.152, 212.8224], [434.2144, 200.1248], [431.7568, 223.0624]]",0.9450980392156862,0.788235294117647,0.1411764705882353,1.0
41,"[[480.8101973027522, 247.22663847979146], [493.4516219659648, 257.3635913199856], [508.12680176777036, 245.33536812847973], [490.235622007374, 226.1711246969956], [480.8101973027522, 247.22663847979146]]",0.08627450980392157,0.1411764705882353,0.6039215686274509,1.0
42,"[[519.9955901075652, 285.36652834568383], [528.8858087099704, 298.9137584537704], [546.5596594665908, 292.00911836230216], [535.4662132759249, 268.25416117154305], [519.9955901075652, 285.36652834568383]]",0.08627450980392157,0.1411764705882353,0.6039215686274509,1.0
43,"[[545.4772391460183, 333.74867144136533], [549.7460151490175, 349.38008154526244], [568.6884972074356, 348.27489883344106], [565.4786883922271, 322.25452860375736], [545.4772391460183, 333.74867144136533]]",0.1843137254901961,0.33725490196078434,0.23529411764705882,1.0
44,"[[554.7608230691392, 387.6370865024178], [553.9902989352474, 403.82256527071775], [572.3471901715521, 408.62502292263696], [577.3352171826866, 382.88629478669], [554.7608230691392, 387.6370865024178]]",0.1843137254901961,0.33725490196078434,0.23529411764705882,1.0
45,"[[546.9376, 441.7568], [541.2032, 456.912], [557.1776, 467.152], [569.8752, 444.2144], [546.9376, 441.7568]]",0.8509803921568627,0.3137254901960784,0.3568627450980392,1.0
46,"[[522.7733615202086, 490.8101973027522], [512.6364086800145, 503.4516219659648], [524.6646318715203, 518.1268017677703], [543.8288753030045, 500.235622007374], [522.7733615202086, 490.8101973027522]]",0.8509803921568627,0.3137254901960784,0.3568627450980392,1.0
47,"[[484.63347165431617, 529.9955901075652], [471.0862415462296, 538.8858087099704], [477.99088163769784, 556.5596594665908], [501.74583882845695, 545.4662132759249], [484.63347165431617, 529.9955901075652]]",0.9254901960784314,0.25882352941176473,0.01568627450980392,1.0
48,"[[436.2513285586347, 555.4772391460183], [420.61991845473756, 559.7460151490175], [421.725101166559, 578.6884972074356], [447.7454713962427, 575.478688392227], [436.2513285586347, 555.4772391460183]]",0.9254901960784314,0.25882352941176473,0.01568627450980392,1.0
49,"[[382.3629134975822, 564.7608230691392], [366.17743472928225, 563.9902989352474], [361.37497707736304, 582.3471901715521], [387.11370521331, 587.3352171826867], [382.3629134975822, 564.7608230691392]]",0.01568627450980392,0.47058823529411764,0.6431372549019608,1.0
50,"[[328.2432, 556.9376], [313.088, 551.2032], [302.84800000000007, 567.1776], [325.7856, 579.8752], [328.2432, 556.9376]]",0.01568627450980392,0.47058823529411764,0.6431372549019608,1.0
51,"[[279.1898026972478, 532.7733615202086], [266.5483780340352, 522.6364086800145], [251.87319823222964, 534.6646318715203], [269.764377992626, 553.8288753030045], [279.1898026972478, 532.7733615202086]]",0.396078431372549,0.2235294117647059,0.4745098039215686,1.0
52,"[[240.00440989243478, 494.63347165431617], [231.11419129002954, 481.0862415462296], [213.4403405334092, 487.99088163769784], [224.53378672407507, 511.74583882845695], [240.00440989243478, 494.63347165431617]]",0.396078431372549,0.2235294117647059,0.4745098039215686,1.0
53,"[[214.5227608539817, 446.2513285586347], [210.25398485098253, 430.61991845473756], [191.31150279256443, 431.725101166559], [194.52131160777293, 457.7454713962427], [214.5227608539817, 446.2513285586347]]",0.396078431372549,0.2235294117647059,0.4745098039215686,1.0
54,"[[205.23917693086088, 392.36291349758227], [206.00970106475262, 376.17743472928225], [187.65280982844786, 371.37497707736304], [182.6647828173133, 397.1137052133101], [205.23917693086088, 392.36291349758227]]",0.6352941176470588,0.09411764705882353,0.09411764705882353,1.0
55,"[[213.0624, 338.2432], [218.7968, 323.0880000000001], [202.8224, 312.84800000000007], [190.1248, 335.78560000000004], [213.0624, 338.2432]]",0.6352941176470588,0.09411764705882353,0.09411764705882353,1.0
56,"[[237.22663847979143, 289.1898026972478], [247.36359131998552, 276.5483780340352], [235.3353681284797, 261.8731982322297], [216.17112469699558, 279.764377992626], [237.22663847979143, 289.1898026972478]]",0.5098039215686274,0.7647058823529411,0.5490196078431373,1.0
57,"[[275.36652834568383, 250.00440989243478], [288.91375845377036, 241.11419129002954], [282.00911836230216, 223.4403405334092], [258.25416117154305, 234.53378672407507], [275.36652834568383, 250.00440989243478]]",0.5098039215686274,0.7647058823529411,0.5490196078431373,1.0
58,"[[323.7486714413653, 224.5227608539817], [339.3800815452624, 220.2539848509825], [338.274898833441, 201.3115027925644], [312.2545286037573, 204.5213116077729], [323.7486714413653, 224.5227608539817]]",0.5098039215686274,0.7647058823529411,0.5490196078431373,1.0
59,"[[377.63708650241773, 215.23917693086088], [393.82256527071775, 216.00970106475262], [398.62502292263696, 197.65280982844783], [372.8862947866899, 192.6647828173133], [377.63708650241773, 215.23917693086088]]",0.9450980392156862,0.788235294117647,0.1411764705882353,1.0
